trial,split,epoch,sample,predictor,value
0,train,0,0,Teacher,0.0730300620198249
0,train,0,1,Teacher,0.0366044342517852
0,train,0,2,Teacher,0.0576849468052387
0,train,0,3,Teacher,0.0449696965515613
0,train,0,4,Teacher,0.0697986930608749
0,train,0,5,Teacher,0.0768735259771347
0,train,0,6,Teacher,0.07523775100708
0,train,0,7,Teacher,0.0765211209654808
0,train,0,8,Teacher,0.0689414367079734
0,train,0,9,Teacher,0.050241220742464
0,train,0,10,Teacher,0.074738785624504
0,train,0,11,Teacher,0.0843209624290466
0,train,0,12,Teacher,0.0864775404334068
0,train,0,13,Teacher,0.0675866156816482
0,train,0,14,Teacher,0.0711204037070274
0,train,0,15,Teacher,0.0513070002198219
0,train,0,16,Teacher,0.0520982481539249
0,train,0,17,Teacher,0.0584147125482559
0,train,0,18,Teacher,0.0547759495675563
0,train,0,19,Teacher,0.0840293616056442
0,train,0,20,Teacher,0.0743124857544899
0,train,0,21,Teacher,0.0189450196921825
0,train,0,22,Teacher,0.0667423829436302
0,train,0,23,Teacher,0.019095703959465
0,train,0,24,Teacher,0.0367752127349376
0,train,0,25,Teacher,0.0354024320840835
0,train,0,26,Teacher,0.0450386442244052
0,train,0,27,Teacher,0.0504171140491962
0,train,0,28,Teacher,0.0755273029208183
0,train,0,29,Teacher,0.0658287554979324
0,train,0,30,Teacher,0.0220382492989301
0,train,0,31,Teacher,0.0562424547970294
0,train,0,32,Teacher,0.0613305084407329
0,train,0,33,Teacher,0.0554383657872676
0,train,0,34,Teacher,0.0354665778577327
0,train,0,35,Teacher,0.047429759055376
0,train,0,36,Teacher,0.0203058440238237
0,train,0,37,Teacher,0.0474933050572872
0,train,0,38,Teacher,0.0550015829503536
0,train,0,39,Teacher,0.1007272079586982
0,train,0,40,Teacher,0.1013956069946289
0,train,0,41,Teacher,0.0502293147146701
0,train,0,42,Teacher,0.0539807938039302
0,train,0,43,Teacher,0.0546515844762325
0,train,0,44,Teacher,0.0489225536584854
0,train,0,45,Teacher,0.0609356090426445
0,train,0,46,Teacher,0.0582903027534484
0,train,0,47,Teacher,0.0306379683315753
0,train,0,48,Teacher,0.0570147670805454
0,train,0,49,Teacher,0.0729959607124328
0,train,0,50,Teacher,0.02559544891119
0,train,0,51,Teacher,0.0207343157380819
0,train,0,52,Teacher,0.0235913507640361
0,train,0,53,Teacher,0.0774077400565147
0,train,0,54,Teacher,0.0516669638454914
0,train,0,55,Teacher,0.0357165373861789
0,train,0,56,Teacher,0.0698021352291107
0,train,0,57,Teacher,0.0600644312798976
0,train,0,58,Teacher,0.0653561279177665
0,train,0,59,Teacher,0.0413209348917007
0,train,0,60,Teacher,0.0351829528808593
0,train,0,61,Teacher,0.0741311684250831
0,train,0,62,Teacher,0.0765974819660186
0,train,0,63,Teacher,0.0228850468993186
0,train,0,64,Teacher,0.0544476732611656
0,train,0,65,Teacher,0.067239336669445
0,train,0,66,Teacher,0.0499257929623127
0,train,0,67,Teacher,0.0568358935415744
0,train,0,68,Teacher,0.058416161686182
0,train,0,69,Teacher,0.0656443610787391
0,train,0,70,Teacher,0.0457176677882671
0,train,0,71,Teacher,0.0222126748412847
0,train,0,72,Teacher,0.0388567522168159
0,train,0,73,Teacher,0.0567531660199165
0,train,0,74,Teacher,0.0733369514346122
0,train,0,75,Teacher,0.0526619963347911
0,train,0,76,Teacher,0.0320515483617782
0,train,0,77,Teacher,0.053695123642683
0,train,0,78,Teacher,0.0696262866258621
0,train,0,79,Teacher,0.0729868188500404
0,train,0,80,Teacher,0.081136368215084
0,train,0,81,Teacher,0.0575591400265693
0,train,0,82,Teacher,0.0355681367218494
0,train,0,83,Teacher,0.0492339059710502
0,train,0,84,Teacher,0.0629206672310829
0,train,0,85,Teacher,0.0565938837826252
