model,covtype,customer,fashion_mnist,mnist,svhn
Bidirectional distillation,0.6157142857142857,0.76,0.848,0.96,0.3619999999999999
Decision Tree,0.7042857142857143,0.75,0.7340000000000001,0.769,0.298
Logdistill O2M,0.6528571428571426,0.685,0.8330000000000003,0.969,0.528
Logistic Regression,0.6085714285714284,0.695,0.79,0.88,0.13
MLP,0.6999999999999998,0.74,0.8190000000000001,0.917,0.1289999999999999
O2M distillation,0.6221428571428571,0.73,0.8550000000000003,0.961,0.482
SVD v1 O2M distillation,0.1614285714285714,0.72,0.7679999999999998,0.7970000000000002,0.407
SVD v2 O2M distillation,0.2042857142857142,,0.8470000000000002,0.9450000000000004,0.637
