dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
mnist,3,10,10,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7480000000000001,121.69175148010254,5e-05
mnist,3,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.7489999999999999,120.96553635597228,0.001
mnist,3,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.701,123.04647135734558,0.0001
mnist,3,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.6919999999999998,123.5903902053833,5e-05
mnist,3,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8850000000000002,470.5951020717621,0.001
mnist,3,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.921,462.59377098083496,0.0001
mnist,3,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.919,362.8836336135864,5e-05
mnist,3,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8570000000000002,364.2909104824066,0.001
mnist,3,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8920000000000001,370.996563911438,0.0001
mnist,3,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.894,388.8837821483612,5e-05
mnist,3,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8530000000000001,372.62458634376526,0.001
mnist,3,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8660000000000002,373.1063923835754,0.0001
mnist,3,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8590000000000002,347.08870482444763,5e-05
mnist,3,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8989999999999999,481.522741317749,0.001
mnist,3,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.928,506.1877882480621,0.0001
mnist,3,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.927,562.9527430534363,5e-05
mnist,3,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8750000000000001,566.013026714325,0.001
mnist,3,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.904,563.2316391468048,0.0001
mnist,3,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9020000000000004,566.7859938144684,5e-05
mnist,3,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8670000000000002,566.1786689758301,0.001
mnist,3,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.877,563.576578617096,0.0001
mnist,3,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8700000000000001,570.3791337013245,5e-05
mnist,3,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.903,950.532167673111,0.001
mnist,3,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9350000000000004,736.0311846733093,0.0001
mnist,3,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9330000000000002,692.9928758144379,5e-05
mnist,3,10,100,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8800000000000001,703.6395447254181,0.001
mnist,3,10,100,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9160000000000004,730.3066079616547,0.0001
mnist,3,10,100,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9230000000000002,717.8323431015015,5e-05
mnist,3,10,100,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8710000000000002,735.4681718349457,0.001
mnist,3,10,100,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8970000000000004,731.8283443450928,0.0001
mnist,3,10,100,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8920000000000001,723.7591280937195,5e-05
mnist,3,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.906,944.6282060146332,0.001
mnist,3,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.942,1104.3366844654083,0.0001
mnist,3,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.941,1108.7042169570925,5e-05
mnist,3,10,100,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8790000000000002,1079.7515590190887,0.001
mnist,3,10,100,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9290000000000002,1091.2290034294128,0.0001
mnist,3,10,100,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9350000000000002,1090.6777255535126,5e-05
mnist,3,10,100,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8740000000000003,1089.1868505477903,0.001
mnist,3,10,100,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9120000000000004,1116.4948542118073,0.0001
mnist,3,10,100,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.914,1091.578428030014,5e-05
mnist,3,10,200,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9200000000000002,1839.073126792908,0.001
mnist,3,10,200,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.941,1416.320279121399,0.0001
mnist,3,10,200,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9370000000000002,1419.5054845809937,5e-05
mnist,3,10,200,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8990000000000002,1461.7894926071167,0.001
mnist,3,10,200,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9390000000000002,1408.482628107071,0.0001
mnist,3,10,200,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9410000000000004,1391.0775711536407,5e-05
mnist,3,10,200,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8970000000000001,1403.1442067623138,0.001
mnist,3,10,200,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9270000000000002,1488.4021663665771,0.0001
mnist,3,10,200,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9300000000000004,1882.4786570072167,5e-05
mnist,3,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9290000000000002,2227.610957384109,0.001
mnist,3,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.926,2224.3225333690643,0.0001
mnist,3,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9200000000000002,2208.36527299881,5e-05
mnist,3,10,200,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8940000000000002,2209.090855360031,0.001
mnist,3,10,200,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.954,2193.176565885544,0.0001
mnist,3,10,200,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9560000000000002,2219.6334059238434,5e-05
mnist,3,10,200,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.8850000000000001,1498.027251958847,0.001
mnist,3,10,200,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9270000000000002,1325.4230527877808,0.0001
mnist,3,10,200,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9350000000000002,1331.2353339195251,5e-05
mnist,3,10,300,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9270000000000002,1828.2404038906093,0.001
mnist,3,10,300,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.913,1822.521836042404,0.0001
mnist,3,10,300,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.907,1765.254201889038,5e-05
mnist,3,10,300,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9030000000000002,1785.929084777832,0.001
mnist,3,10,300,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.943,1842.1847722530365,0.0001
mnist,3,10,300,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.9510000000000002,1845.890686035156,5e-05
