dataset,train_shot,x_dim,way,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,table_dataset,accuracy,duration_sec,z_dim
covtype,1,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1585714285714285,28.91446256637573,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.4814285714285714,136.60397934913635,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.4799999999999999,135.34190106391907,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.4814285714285714,135.42608189582825,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.4085714285714285,134.4172146320343,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.2157142857142857,131.85643362998962,
covtype,10,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.2057142857142856,132.45501232147217,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.3985714285714286,137.82575869560242,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.1785714285714285,138.13813304901123,
covtype,10,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.1642857142857142,137.97477006912231,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.56,627.9238214492798,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.55,620.8241369724274,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.5514285714285714,620.3695373535156,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.5485714285714285,620.4097969532013,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.4485714285714285,619.8231966495514,
covtype,50,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.4228571428571427,628.8317329883575,
covtype,50,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.5528571428571428,651.1329936981201,
covtype,50,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.397142857142857,1114.6060416698456,
covtype,50,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.3557142857142857,1454.1095447540283,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.5942857142857143,2617.106516599655,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.5914285714285712,2694.780956745148,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.6028571428571428,1376.8562879562378,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.582857142857143,2296.146718740464,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.537142857142857,1165.75155043602,
covtype,100,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.5314285714285714,1282.5888848304749,
covtype,100,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.5742857142857143,1221.1897830963137,
covtype,100,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.51,1239.843017578125,
covtype,100,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.4600000000000001,1228.7318017482758,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.001,0.001,1,False,False,1,True,0.5085714285714286,3610.5599451065054,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.001,0.0001,1,False,False,1,True,0.537142857142857,3647.791752576828,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.001,5e-05,1,False,False,1,True,0.5457142857142857,3664.126036167145,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.0001,0.001,1,False,False,1,True,0.6142857142857142,3850.518812894821,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.0001,0.0001,1,False,False,1,True,0.6028571428571429,3848.979491472244,
covtype,300,54,7,1,MSELoss(),10,100,True,test,0.0001,5e-05,1,False,False,1,True,0.5871428571428571,3749.865225315094,
covtype,300,54,7,1,MSELoss(),10,100,True,test,5e-05,0.001,1,False,False,1,True,0.5814285714285714,3683.305468320847,
covtype,300,54,7,1,MSELoss(),10,100,True,test,5e-05,0.0001,1,False,False,1,True,0.5757142857142857,3737.934182882309,
covtype,300,54,7,1,MSELoss(),10,100,True,test,5e-05,5e-05,1,False,False,1,True,0.5857142857142857,3669.778048038482,
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.2942857142857142,165.8064296245575,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.2714285714285714,148.59849643707275,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.2685714285714285,153.38858652114868,1000.0
