model,covtype,customer,fashion_mnist,svhn
Bidirectional distillation,0.5871428571428572,0.69,,
Decision Tree,0.6828571428571428,0.755,0.7239999999999998,0.239
Logistic Regression,0.6271428571428571,0.745,0.7810000000000001,0.1189999999999999
MLP,0.6699999999999998,0.805,0.7760000000000001,0.1109999999999999
One-to-many distillation,0.627142857142857,0.735,0.8370000000000001,
