dataset,way,train_shot,test_shot,x_dim,channels,trials,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec,max_depth
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.259,1.248608112335205,10.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.259,1.21832013130188,20.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.24,1.1649744510650637,30.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.254,1.2788033485412598,50.0
fashion_mnist,10,1,1,28,1,100,test,False,True,1,2000,False,False,0.242,1.239588975906372,100.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.1929999999999999,2.3168790340423584,1.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.4529999999999999,3.0742411613464355,3.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.5349999999999999,3.958441257476807,5.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.525,4.46059250831604,7.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.52,4.191168546676636,10.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.541,4.190013647079468,20.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.509,4.442817449569702,30.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.531,4.004335641860962,50.0
fashion_mnist,10,10,1,28,1,100,test,False,True,1,2000,False,False,0.523,3.9913151264190674,100.0
fashion_mnist,10,50,1,28,1,100,test,False,True,1,2000,False,False,0.19599999999999998,4.480040073394775,1.0
