dataset,train_shot,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,accuracy,duration_sec,table_dataset,way,x_dim,z_dim
customer,50,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,2,0.675,275.71692657470703,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,2,0.605,275.51817560195923,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,2,0.665,272.5266852378845,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,2,0.67,275.6837341785431,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,2,0.625,276.9232897758484,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,2,0.63,277.5280835628509,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,2,0.62,270.09927225112915,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,2,0.58,1011.115074634552,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,2,0.675,1017.1934983730316,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,2,0.67,975.163470506668,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,2,0.65,977.6636230945588,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,2,0.595,1000.3191056251526,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,2,0.67,953.6691703796388,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,2,0.63,986.5884509086608,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,2,0.615,998.2047917842864,1.0,2.0,41.0,1000.0
customer,200,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,2,0.69,959.9867305755615,1.0,2.0,41.0,1000.0
