dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,in_alphabet,add_rotations,channels,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
covtype,3,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6142857142857143,549.2424001693726,0.001
covtype,3,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6071428571428572,536.6463544368744,0.0001
covtype,3,7,50,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6071428571428572,534.5497896671295,5e-05
covtype,3,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5414285714285715,506.379111289978,0.001
covtype,3,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5371428571428571,440.91413140296936,0.0001
covtype,3,7,50,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5357142857142858,442.3521478176117,5e-05
covtype,3,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4428571428571428,440.8001666069031,0.001
covtype,3,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4328571428571428,441.4701931476593,0.0001
covtype,3,7,50,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4285714285714285,436.9728713035584,5e-05
covtype,3,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5914285714285714,442.737441778183,0.001
covtype,3,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.59,433.51787543296814,0.0001
covtype,3,7,50,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.59,447.77792096138,5e-05
covtype,3,7,50,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5485714285714285,443.2614469528198,0.001
