model,covtype,customer,fashion_mnist,mnist,svhn
Bidirectional distillation,0.4814285714285714,0.68,0.708,0.8080000000000002,0.25
Decision Tree,0.547142857142857,0.685,0.5529999999999999,0.4649999999999999,0.139
Logdistill O2M,0.4971428571428571,0.645,0.703,0.8240000000000002,0.24
Logistic Regression,0.2299999999999999,0.555,0.618,0.679,0.112
MLP,0.45,0.63,0.536,0.6290000000000001,0.109
O2M distillation,0.4921428571428571,0.6825,0.7,0.8120000000000002,0.258
SVD v1 O2M distillation,0.5028571428571429,0.675,0.7090000000000001,0.8059999999999999,0.311
SVD v2 O2M distillation,0.4999999999999999,0.63,0.278,0.5980000000000001,0.1029999999999999
