model,covtype,customer,fashion_mnist,svhn
Bidirectional distillation,0.56,0.68,0.802,0.417
Decision Tree,0.6071428571428571,0.745,0.6539999999999999,0.167
Logistic Regression,0.4371428571428571,0.67,0.708,0.127
MLP,0.6457142857142857,0.74,0.706,0.1239999999999999
One-to-many distillation,0.5971428571428572,0.655,0.779,0.279
