model,covtype,customer,fashion_mnist,svhn
Bidirectional distillation,0.6242857142857141,0.68,0.8300000000000002,0.412
Decision Tree,0.6385714285714286,0.76,0.6980000000000001,0.214
Logistic Regression,0.5642857142857142,0.665,0.7680000000000001,0.13
MLP,0.6428571428571429,0.765,0.754,0.114
One-to-many distillation,0.6042857142857142,0.73,0.804,0.4639999999999999
