dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
svhn,10,10,1,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.122,83.60578346252441
svhn,10,10,5,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.127,110.67451214790344
svhn,10,10,5,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.184,109.96266269683838
svhn,10,10,5,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.158,110.1851966381073
svhn,10,10,5,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.125,175.59112167358398
svhn,10,10,5,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.17,175.97889685630798
svhn,10,10,5,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1599999999999999,175.24506497383118
svhn,10,10,10,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.148,189.1372139453888
svhn,10,10,10,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.258,189.7848398685456
svhn,10,10,10,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.24,189.85472202301025
svhn,10,10,10,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.121,289.04968309402466
svhn,10,10,10,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.234,291.77876901626587
svhn,10,10,10,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.229,289.23992395401
svhn,10,10,100,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.115,1612.891417503357
svhn,10,10,100,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.413,1615.694086074829
svhn,10,10,100,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4639999999999999,1611.674851179123
svhn,10,10,100,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.1149999999999999,2406.0827896595
svhn,10,10,100,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3719999999999999,2410.360757827759
svhn,10,10,100,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.423,2398.6044476032257
svhn,10,10,300,1,32,1024,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.11,4775.32736492157
svhn,10,10,300,1,32,1024,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.318,4766.833740234375
svhn,10,10,300,1,32,1024,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.474,4815.187328577042
svhn,10,10,300,1,32,2000,True,adam,0.001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.105,7143.518616914749
svhn,10,10,300,1,32,2000,True,adam,0.0001,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3339999999999999,7140.708209276199
svhn,10,10,300,1,32,2000,True,adam,5e-05,xavier_normal,3,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4789999999999999,7346.2586414813995
