model,covtype,customer,fashion_mnist,mnist,svhn
Bidirectional distillation,0.5871428571428572,0.69,0.8340000000000001,0.968,
Decision Tree,0.6828571428571428,0.755,0.7239999999999998,0.7280000000000001,0.239
Logdistill O2M,0.6228571428571429,0.715,0.8330000000000003,0.958,0.4919999999999999
Logistic Regression,0.6271428571428571,0.745,0.7810000000000001,0.8680000000000004,0.1189999999999999
MLP,0.6699999999999998,0.805,0.7760000000000001,0.8910000000000001,0.1109999999999999
O2M distillation,0.627142857142857,0.735,0.8370000000000001,0.967,0.491
SVD v1 O2M distillation,0.1685714285714285,0.735,0.7709999999999999,0.9110000000000004,0.482
SVD v2 O2M distillation,0.1814285714285713,,0.806,0.934,0.584
