dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.918,401.99941873550415,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.88,394.84986901283264,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.9079999999999998,396.809641122818,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.908,395.2754967212677,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.87,559.6115212440491,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.894,556.8393385410309,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.8960000000000001,545.2666392326355,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.918,562.6427700519562,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.952,560.7475218772888,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.948,559.8993549346924,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.908,557.3143620491028,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.94,549.3226225376129,0.0,0.0
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.9379999999999998,549.8302092552185,0.0,0.0
