model,covtype,customer,fashion_mnist,mnist,svhn
Bidirectional distillation,0.6242857142857141,0.68,0.8300000000000002,0.942,0.412
Decision Tree,0.6385714285714286,0.76,0.6980000000000001,0.701,0.214
Logdistill O2M,0.6257142857142857,0.725,0.8250000000000003,0.943,0.4479999999999999
Logistic Regression,0.5642857142857142,0.665,0.7680000000000001,0.8410000000000001,0.13
MLP,0.6428571428571429,0.765,0.754,0.8880000000000001,0.114
O2M distillation,0.6042857142857142,0.73,0.804,0.953,0.4639999999999999
SVD v1 O2M distillation,0.1714285714285713,0.69,0.8,0.9440000000000002,0.5269999999999999
SVD v2 O2M distillation,0.56,,0.7410000000000001,0.9090000000000004,0.412
