dataset,epochs,way,train_shot,test_shot,dld,optimizer,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,accuracy,duration_sec,table_dataset,x_dim,z_dim
covtype,3,7,1,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1571428571428571,80.45085597038269,1.0,54.0,1000.0
covtype,3,7,1,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2935714285714286,80.3616144657135,1.0,54.0,2000.0
covtype,3,7,1,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2521428571428571,79.97842216491699,1.0,54.0,2000.0
covtype,3,7,1,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1535714285714285,78.378089427948,1.0,54.0,2000.0
covtype,3,7,1,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1457142857142856,76.71928453445435,1.0,54.0,2000.0
covtype,3,7,5,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4135714285714286,87.77535581588745,1.0,54.0,1000.0
covtype,3,7,5,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.3957142857142857,89.24988222122192,1.0,54.0,1000.0
covtype,3,7,5,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2078571428571428,87.46004176139832,1.0,54.0,1000.0
covtype,3,7,5,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1685714285714285,90.97369265556335,1.0,54.0,1000.0
covtype,3,7,5,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4207142857142856,87.98311734199524,1.0,54.0,2000.0
covtype,3,7,5,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4114285714285713,91.3470413684845,1.0,54.0,2000.0
covtype,3,7,5,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2285714285714285,89.81698203086853,1.0,54.0,2000.0
covtype,3,7,5,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1878571428571428,93.17203617095949,1.0,54.0,2000.0
covtype,3,7,10,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4750000000000001,101.18523359298706,1.0,54.0,1000.0
covtype,3,7,10,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4628571428571428,103.74454998970032,1.0,54.0,1000.0
covtype,3,7,10,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2664285714285713,104.7820918560028,1.0,54.0,1000.0
covtype,3,7,10,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.22,110.52801585197447,1.0,54.0,1000.0
covtype,3,7,10,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4835714285714286,108.69224953651428,1.0,54.0,2000.0
covtype,3,7,10,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4807142857142856,109.65840888023376,1.0,54.0,2000.0
covtype,3,7,10,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.3092857142857143,103.08134293556212,1.0,54.0,2000.0
covtype,3,7,10,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2207142857142856,100.33054542541504,1.0,54.0,2000.0
covtype,3,7,100,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4928571428571428,297.0654525756836,1.0,54.0,1000.0
covtype,3,7,100,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5907142857142857,295.50929164886475,1.0,54.0,1000.0
covtype,3,7,100,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5535714285714286,319.5338547229767,1.0,54.0,1000.0
covtype,3,7,100,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5021428571428571,321.84902596473694,1.0,54.0,1000.0
covtype,3,7,100,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5214285714285714,305.4977693557739,1.0,54.0,2000.0
covtype,3,7,100,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.6042857142857142,307.1962916851044,1.0,54.0,2000.0
covtype,3,7,100,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5778571428571428,332.4424829483032,1.0,54.0,2000.0
covtype,3,7,100,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5528571428571429,310.8463590145111,1.0,54.0,2000.0
covtype,3,7,300,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4314285714285713,779.0631692409515,1.0,54.0,1000.0
covtype,3,7,300,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.6057142857142856,745.0472753047943,1.0,54.0,1000.0
covtype,3,7,300,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5871428571428572,782.5392506122589,1.0,54.0,1000.0
covtype,3,7,300,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5842857142857142,772.0366017818451,1.0,54.0,1000.0
