dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,z_dim
medical,10,6,100,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1421.5257985591888,
medical,10,6,100,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1425.874834060669,
medical,10,6,100,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,0.1666666666666667,1403.0115087032318,
medical,3,6,300,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,623.1595838069916,100.0
medical,3,6,300,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,655.9460060596466,100.0
medical,3,6,300,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,626.8311829566956,100.0
medical,3,6,300,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,645.7132596969604,100.0
medical,3,6,300,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,644.5143821239471,1000.0
medical,3,6,300,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,632.1491129398346,1000.0
medical,3,6,300,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,658.8627140522003,1000.0
medical,3,6,300,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,608.4393091201782,1000.0
medical,3,6,1,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,8.201707363128662,100.0
medical,3,6,1,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,8.3282310962677,100.0
medical,3,6,1,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,7.815489053726196,100.0
medical,3,6,1,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,7.548500061035156,100.0
medical,3,6,1,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,9.33334755897522,1000.0
medical,3,6,1,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,8.908214092254639,1000.0
medical,3,6,1,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,8.439848899841309,1000.0
medical,3,6,1,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,8.663874387741089,1000.0
medical,3,6,5,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,17.178529977798462,100.0
medical,3,6,5,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,17.02427387237549,100.0
medical,3,6,5,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,17.188735485076904,100.0
medical,3,6,5,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,18.23842763900757,100.0
medical,3,6,5,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,17.817962408065796,1000.0
medical,3,6,5,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,18.02274370193481,1000.0
medical,3,6,5,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,18.061176776885983,1000.0
medical,3,6,5,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,18.30073308944702,1000.0
medical,3,6,10,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,28.88916516304016,100.0
medical,3,6,10,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,28.634711742401123,100.0
medical,3,6,10,1,True,adam,59,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,28.158647298812863,100.0
medical,3,6,10,1,True,adam,59,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,28.266287326812744,100.0
medical,3,6,10,1,True,adam,59,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,29.121108770370483,1000.0
medical,3,6,10,1,True,adam,59,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,True,0.1666666666666667,28.970455646514893,1000.0
