dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
fashion_mnist,10,10,1,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.3769999999999999,2.842903852462769
fashion_mnist,10,10,1,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.157,2.7874557971954346
fashion_mnist,10,10,1,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.129,2.8676066398620605
fashion_mnist,10,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.618,7.404620170593262
fashion_mnist,10,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.2989999999999999,7.985392808914185
fashion_mnist,10,10,10,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.203,7.651966094970703
fashion_mnist,10,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.708,26.755856037139893
fashion_mnist,10,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.6190000000000001,26.310288190841675
fashion_mnist,10,10,50,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.52,25.893739700317383
fashion_mnist,10,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.7680000000000001,43.09009432792664
fashion_mnist,10,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.6630000000000001,39.86205315589905
fashion_mnist,10,10,100,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.64,40.7936999797821
fashion_mnist,10,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.7810000000000001,75.63667702674866
fashion_mnist,10,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.6719999999999999,83.12732005119324
fashion_mnist,10,10,200,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.6459999999999999,84.2767436504364
fashion_mnist,10,10,300,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.79,122.72755098342896
fashion_mnist,10,10,300,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.691,107.09764981269836
fashion_mnist,10,10,300,1,28,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,False,0.6669999999999999,103.1178719997406
