model,covtype,customer,fashion_mnist,svhn
Bidirectional distillation,0.6157142857142857,0.76,0.848,0.3619999999999999
Decision Tree,0.7042857142857143,0.75,0.7340000000000001,0.298
Logistic Regression,0.6085714285714284,0.695,0.79,0.13
MLP,0.6999999999999998,0.74,0.8190000000000001,0.1289999999999999
One-to-many distillation,0.6221428571428571,0.73,0.8550000000000003,0.482
