way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
5,1,1,28,50,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.226,7.880398988723755
5,1,1,28,50,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.214,1.0644903182983398
5,1,1,28,50,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.22399999999999995,1.0633108615875244
5,1,1,28,50,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,1.1014788150787354
5,1,1,28,50,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.184,1.1010658740997314
5,1,1,28,50,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18600000000000005,1.1040403842926023
5,1,1,28,50,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.196,0.9779729843139648
5,1,1,28,50,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.202,0.9689881801605223
5,1,1,28,50,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.196,0.9819905757904052
5,1,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.252,1.2298362255096436
5,1,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.206,1.2257790565490725
5,1,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.20000000000000004,1.2303564548492432
5,1,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.21399999999999994,1.2568624019622805
5,1,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19199999999999995,1.257993221282959
5,1,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.196,1.2617158889770508
5,1,1,28,100,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.208,1.1252374649047852
5,1,1,28,100,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18599999999999994,1.1266558170318604
5,1,1,28,100,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.20600000000000002,1.127206563949585
5,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.174,1.5482478141784668
5,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.254,1.5413446426391602
5,1,1,28,200,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.25,1.5430474281311035
5,1,1,28,200,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19400000000000006,1.5782427787780762
5,1,1,28,200,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.22,1.5801374912261963
5,1,1,28,200,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.218,1.5779645442962646
5,1,1,28,200,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19199999999999995,1.446838140487671
5,1,1,28,200,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.22399999999999995,1.4445767402648926
5,1,1,28,200,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.212,1.447786808013916
5,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19399999999999995,1.8602681159973145
5,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.29,1.8543739318847656
5,1,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.246,1.860602855682373
5,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.23000000000000004,1.893298864364624
5,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17599999999999993,1.8954198360443115
5,1,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.172,1.8938517570495603
5,1,1,28,300,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.188,1.7619729042053225
5,1,1,28,300,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.204,1.7585060596466064
5,1,1,28,300,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.212,1.7619988918304443
5,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.146,2.464515209197998
5,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.332,2.4644863605499268
5,1,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.25,2.462389707565308
5,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16399999999999998,2.495613813400269
5,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17600000000000002,2.503517866134644
5,1,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.204,2.498984336853028
5,1,1,28,500,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,2.366395711898804
5,1,1,28,500,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.2,2.371016025543213
5,1,1,28,500,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.21600000000000005,2.3637158870697017
5,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.182,2.7654285430908203
5,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.32,2.767987012863159
5,1,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.234,2.767134666442871
5,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.20800000000000002,2.8064956665039062
5,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.22199999999999995,2.805407762527466
5,1,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18,2.794464588165283
5,1,1,28,600,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16399999999999998,2.665787935256958
