way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
5,1,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18,2.755402088165283
5,1,1,28,600,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16399999999999998,2.5965819358825684
5,1,1,28,600,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16399999999999998,2.6097114086151123
5,1,1,28,50,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.40800000000000014,13.24556827545166
5,1,1,28,600,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.2,2.5978546142578125
5,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.146,3.246934652328491
5,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.322,3.2392184734344482
5,1,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.29000000000000004,3.2522614002227783
5,1,1,28,50,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.38,13.514484167098999
5,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.21,3.289210081100464
5,1,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17999999999999994,3.2676601409912114
5,1,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16999999999999996,3.2958986759185787
5,1,1,28,784,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.204,3.2137393951416016
5,1,1,28,50,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.212,13.357256412506105
5,1,1,28,784,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,3.1551294326782227
5,1,1,28,784,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.16799999999999998,3.148017406463623
5,1,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.182,3.925041437149048
5,1,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.3,3.900362491607666
5,1,1,28,50,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.18600000000000005,13.146548748016356
5,1,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.30000000000000004,3.907932996749878
5,1,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,3.94841742515564
5,1,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.188,3.936814546585083
5,1,1,28,50,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.188,13.664619207382202
5,1,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17799999999999996,3.940078020095825
5,1,1,28,1000,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.182,3.780890226364136
5,1,1,28,1000,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.212,3.784516096115112
5,1,1,28,50,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.28400000000000003,9.874449491500853
5,1,1,28,1000,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.18399999999999994,3.774052619934082
5,1,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.142,6.98927640914917
5,1,1,28,50,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.222,9.673251390457152
5,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.33399999999999996,7.006639003753662
5,1,1,28,50,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.194,10.207837820053099
5,1,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.3,7.024991750717162
5,1,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.2,7.085148572921753
5,1,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.264,13.462838649749756
5,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.224,7.068527936935425
5,1,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17799999999999996,7.094264030456543
5,1,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.398,13.755980253219604
5,1,1,28,2000,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.20800000000000002,6.8584206104278564
5,1,1,28,2000,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,6.871600866317749
5,1,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.4000000000000001,13.099308729171753
5,1,1,28,2000,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.194,6.816507816314697
5,1,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.238,13.338140964508055
5,1,1,28,3000,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.12999999999999998,10.091931104660032
5,1,1,28,3000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.3620000000000001,10.165892839431764
5,1,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.196,13.471707582473755
5,1,1,28,3000,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.312,10.200987815856934
5,1,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.196,13.176225185394287
5,1,1,28,3000,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17999999999999994,10.282250642776491
5,1,1,28,100,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.276,11.106070518493652
5,1,1,28,3000,adadelta,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.22,10.310333490371702
5,1,1,28,100,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.19199999999999995,10.337197065353395
5,1,1,28,3000,adadelta,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.198,10.279847383499147
5,1,1,28,100,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.21600000000000005,10.394959211349489
5,1,1,28,3000,sgd,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.17600000000000002,9.960684299468994
5,1,1,28,200,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.322,13.533640384674072
5,1,1,28,3000,sgd,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.252,10.152473449707033
5,1,1,28,3000,sgd,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.196,9.971326112747194
5,3,1,28,50,adam,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.2,1.4899892807006836
5,1,1,28,200,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,0.494,13.112893342971802
5,3,1,28,50,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.278,1.5682206153869631
5,3,1,28,50,adam,0.0005,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.262,1.5924978256225586
5,3,1,28,50,adadelta,0.01,xavier_normal,1,MSELoss(),100,True,test,False,True,0,0.19,1.6030852794647217
