dataset,way,epochs,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
omniglot,5,1,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,14.645748138427734
omniglot,5,1,1,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,13.894571542739868
omniglot,5,1,5,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,41.493956804275506
omniglot,5,1,5,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,42.402138948440545
omniglot,5,1,5,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,41.79932689666747
omniglot,5,1,5,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23200000000000004,44.0543863773346
omniglot,5,1,5,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,44.72406530380249
omniglot,5,1,5,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,45.08206868171692
omniglot,5,1,5,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.244,42.185736179351814
omniglot,5,1,5,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.276,41.73417210578919
omniglot,5,1,5,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.268,43.511948108673096
omniglot,5,1,5,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,45.24591255187988
omniglot,5,1,5,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,45.22553610801697
omniglot,5,1,5,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,45.12833499908447
omniglot,5,1,5,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,42.34819102287293
omniglot,5,1,5,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,42.74032473564147
omniglot,5,1,5,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.256,42.426566123962395
omniglot,5,1,5,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.20800000000000002,45.717570304870605
omniglot,5,1,5,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,45.36535334587097
omniglot,5,1,5,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,46.401237964630134
omniglot,5,1,5,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24000000000000005,43.232261419296265
omniglot,5,1,5,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,43.09846830368042
omniglot,5,1,5,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,41.77251148223878
omniglot,5,1,5,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.16,45.67460298538208
omniglot,5,1,5,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.15600000000000006,45.43483591079712
omniglot,5,1,5,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.15600000000000006,45.77949905395508
omniglot,5,1,5,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23200000000000004,41.98701310157776
omniglot,5,1,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.264,42.825261116027825
omniglot,5,1,5,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,42.96979022026062
omniglot,5,1,5,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.244,47.05703926086426
omniglot,5,1,5,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,45.596983671188354
omniglot,5,1,5,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,46.38200831413269
omniglot,5,1,5,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,43.72837233543396
omniglot,5,1,5,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.268,43.80998110771179
omniglot,5,1,5,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,43.49920201301575
omniglot,5,1,5,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,47.45289707183838
omniglot,5,1,5,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,46.25243282318115
omniglot,5,1,5,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,47.368048667907715
omniglot,5,1,5,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,51.60308241844177
omniglot,5,1,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,50.62977361679077
omniglot,5,1,5,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,51.12156534194946
omniglot,5,1,5,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,57.298091650009155
omniglot,5,1,5,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.16799999999999998,56.79796004295349
omniglot,5,1,5,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.16799999999999998,57.048837184906006
omniglot,5,1,10,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,80.95273375511171
omniglot,5,1,10,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24399999999999994,81.40443229675294
omniglot,5,1,10,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,81.63606905937196
omniglot,5,1,10,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,86.41678690910341
omniglot,5,1,10,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.172,86.56055545806885
omniglot,5,1,10,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.172,87.71579384803772
omniglot,5,1,10,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,82.2632918357849
omniglot,5,1,10,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,81.30368852615356
omniglot,5,1,10,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,82.70860481262206
omniglot,5,1,10,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,88.25963068008423
omniglot,5,1,10,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,87.459308385849
omniglot,5,1,10,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23199999999999998,87.41727614402771
omniglot,5,1,10,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,82.421062707901
omniglot,5,1,10,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.292,82.98847222328186
omniglot,5,1,10,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.3,83.53764843940733
omniglot,5,1,10,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,87.8913824558258
omniglot,5,1,10,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.172,88.13360619544983
omniglot,5,1,10,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.17600000000000002,88.29960227012634
omniglot,5,1,10,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.244,83.08909487724306
omniglot,5,1,10,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.276,82.57992482185364
