dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,3,10,300,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.958378,901.5366582870483
mnist,3,10,300,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.95376,901.9365928173064
mnist,10,10,1,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.39658899999999997,72.40499353408812
mnist,10,10,1,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.366178,72.45213413238525
mnist,10,10,1,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.28684799999999994,72.54782938957214
mnist,10,10,1,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.3988940000000001,84.05277729034424
mnist,10,10,1,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.3961049999999999,84.03594732284544
mnist,10,10,1,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.3502599999999999,83.99300456047058
mnist,10,10,5,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.701205,94.9960641860962
mnist,10,10,5,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.684655,94.95301389694214
mnist,10,10,5,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.6390710000000001,94.9945833683014
mnist,10,10,5,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7074579999999999,116.09838509559631
mnist,10,10,5,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.6998030000000002,116.11934804916382
mnist,10,10,5,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.6717609999999999,116.09660124778748
mnist,10,10,10,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7975450000000001,132.83346915245056
mnist,10,10,10,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7893060000000001,132.6309406757355
mnist,10,10,10,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7600800000000001,132.8087100982666
mnist,10,10,10,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.8024640000000001,162.64825057983396
mnist,10,10,10,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.8006840000000001,162.46512937545774
mnist,10,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.7806289999999998,162.61560392379758
mnist,10,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.91105,439.0386142730713
mnist,10,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.918733,434.78602480888367
mnist,10,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.907964,436.2705674171448
mnist,10,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.90597,531.1276769638062
mnist,10,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.9230149999999999,531.180769443512
mnist,10,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.916324,531.4399518966675
mnist,10,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,True,False,0.914801,819.2020390033722
