dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
mnist,10,10,1,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.11856099999999999,60.03051805496216
mnist,10,10,1,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.24793600000000002,60.01351189613342
mnist,10,10,1,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.11270699999999995,60.408385515213006
mnist,10,10,1,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.105742,60.31076669692993
mnist,10,10,1,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.403733,59.795022249221795
mnist,10,10,1,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.20111600000000002,60.06630539894104
mnist,10,10,1,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.147023,59.98519730567932
mnist,10,10,1,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.375084,60.51087355613709
mnist,10,10,1,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.17420400000000005,60.479088306427
mnist,10,10,1,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.13045800000000002,60.617793798446655
mnist,10,10,1,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.448678,60.89078402519226
mnist,10,10,1,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.307657,60.91582131385803
mnist,10,10,1,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.223602,60.53376817703247
mnist,10,10,1,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.436475,62.44965791702271
mnist,10,10,1,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.341591,62.65856194496155
mnist,10,10,1,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.277617,62.79578232765198
mnist,10,10,10,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.6811109999999999,66.68106698989868
mnist,10,10,10,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.280248,68.39690494537354
mnist,10,10,10,1,28,64,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.184968,67.91379690170288
mnist,10,10,10,1,28,64,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.5979099999999999,68.92613625526428
mnist,10,10,10,1,28,64,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.1804,69.84807872772217
mnist,10,10,10,1,28,64,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.134231,69.43613886833191
mnist,10,10,10,1,28,256,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.728707,65.1193859577179
mnist,10,10,10,1,28,256,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.490671,65.86800861358643
mnist,10,10,10,1,28,256,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.329461,65.43419909477235
mnist,10,10,10,1,28,256,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.71858,67.1391339302063
mnist,10,10,10,1,28,256,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.454151,66.53296160697937
mnist,10,10,10,1,28,256,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.291883,66.10615801811218
mnist,10,10,10,1,28,1024,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.7494239999999999,63.55946040153504
mnist,10,10,10,1,28,1024,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.6245809999999999,62.75585675239563
mnist,10,10,10,1,28,1024,1,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.5240870000000001,62.622409343719475
mnist,10,10,10,1,28,1024,2,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.741617,65.04199957847595
mnist,10,10,10,1,28,1024,2,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.6508380000000001,65.73895263671875
mnist,10,10,10,1,28,1024,2,relu,adam,5e-05,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.5829030000000001,66.01363110542296
mnist,3,10,200,1,28,64,1,relu,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.883106,88.63341808319092
mnist,3,10,200,1,28,64,1,relu,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,0,2000,True,False,0.7423889999999999,91.51323080062866
