dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,gpu,test_batch,save_data,accuracy,duration_sec
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.7771100000000001,145.4451756477356
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.7839440000000001,140.64367985725406
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.7996939999999999,141.96137619018558
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.7384200000000001,142.72139430046082
mnist,10,10,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.7728060000000001,146.9818720817566
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.8938419999999999,154.59143567085266
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.9027799999999999,157.64057064056396
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.8945399999999999,165.91057872772214
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.8987820000000001,178.37528419494632
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.8257519999999998,171.3282132148743
mnist,10,50,1,MSELoss(),3,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.8515739999999999,168.31326317787168
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.8925759999999999,187.74096035957336
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.8994820000000001,189.04743075370789
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.8992739999999999,185.0940978527069
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.913306,186.43920063972473
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.827406,192.4105725288391
mnist,10,50,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.8731180000000001,192.52956342697144
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.856728,381.1744067668915
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.904152,385.5254948139191
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.89436,376.36148262023926
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.90485,375.6669383049011
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.841198,376.62448716163635
mnist,10,50,1,MSELoss(),10,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.8877340000000002,407.495215177536
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.8501179999999999,510.0529510974884
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.8846,508.5598726272583
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.8981459999999999,508.2443971633911
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.916842,507.56361746788025
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.8465860000000001,509.7603900432586
mnist,10,50,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.899284,513.7502012252809
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.872094,451.00275588035583
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.8879999999999998,442.8126721382141
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.9402159999999999,446.3413288593292
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.94529,454.8109016418457
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.8880060000000001,449.0999660491944
mnist,10,200,1,MSELoss(),3,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.919212,439.33601236343384
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.8641840000000001,608.2758522033691
