accuracy,add_rotations,augmentation,channels,dataset,duration_sec,epochs,gpu,in_alphabet,loss,lr_predictor,lr_target,save_data,silent,split,test_batch,test_shot,train_shot,trials,way,x_dim,z_dim
0.331,True,,1,omniglot,30.202544689178467,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,1,100,10,28,2000
0.287,True,,1,omniglot,30.108693599700928,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,1,100,10,28,2000
0.409,True,,1,omniglot,15.553060293197632,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,100,10,28,784
0.423,True,,1,omniglot,15.542432069778442,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,3,100,10,28,784
0.3670000000000001,True,,1,omniglot,15.513365030288696,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,3,100,10,28,784
0.261,True,,1,omniglot,15.507208824157715,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,3,100,10,28,784
0.4860000000000001,True,,1,omniglot,28.337769031524658,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,100,10,28,2000
0.478,True,,1,omniglot,28.30184936523437,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,3,100,10,28,2000
0.484,True,,1,omniglot,28.33206343650818,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,3,100,10,28,2000
0.382,True,,1,omniglot,28.31902551651001,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,3,100,10,28,2000
0.433,True,,1,omniglot,43.15369963645935,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,100,10,28,784
0.457,True,,1,omniglot,43.062933921813965,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,3,100,10,28,784
0.4,True,,1,omniglot,43.13576340675354,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,3,100,10,28,784
0.3559999999999999,True,,1,omniglot,42.969856977462776,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,3,100,10,28,784
0.491,True,,1,omniglot,69.40207815170288,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,100,10,28,2000
0.483,True,,1,omniglot,69.37547898292543,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,3,100,10,28,2000
0.486,True,,1,omniglot,69.4894540309906,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,3,100,10,28,2000
0.467,True,,1,omniglot,69.35405659675597,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,3,100,10,28,2000
0.509,True,,1,omniglot,21.88129162788391,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,784
0.512,True,,1,omniglot,21.94105291366577,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,784
0.479,True,,1,omniglot,21.945350170135498,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,784
0.3349999999999999,True,,1,omniglot,21.884448289871216,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,784
0.605,True,,1,omniglot,39.82486510276794,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,2000
0.578,True,,1,omniglot,39.93364524841309,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.584,True,,1,omniglot,39.886235237121575,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,2000
0.503,True,,1,omniglot,39.77523040771485,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.508,True,,1,omniglot,74.43461132049559,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,784
0.507,True,,1,omniglot,73.65478086471558,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,784
0.4930000000000001,True,,1,omniglot,73.44675850868225,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,784
0.461,True,,1,omniglot,73.88799738883972,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,784
0.5710000000000001,True,,1,omniglot,108.91436219215393,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,100,10,28,2000
0.511,True,,1,omniglot,108.9962832927704,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.578,True,,1,omniglot,108.97675275802612,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,5,100,10,28,2000
0.575,True,,1,omniglot,109.02873849868773,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,5,100,10,28,2000
0.644,True,,1,omniglot,43.483059883117676,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,100,10,28,784
0.6629999999999998,True,,1,omniglot,43.26343321800232,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,10,100,10,28,784
0.627,True,,1,omniglot,43.36708903312683,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,10,100,10,28,784
0.514,True,,1,omniglot,43.397270917892456,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,10,100,10,28,784
0.6970000000000001,True,,1,omniglot,69.39556360244751,3,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,100,10,28,2000
0.6709999999999999,True,,1,omniglot,69.49975800514221,3,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,10,100,10,28,2000
