dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,3,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7733333333333333,44.44005966186523
omniglot,10,3,5,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.8033333333333332,42.96696209907532
omniglot,10,3,5,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7899999999999998,44.54675817489624
omniglot,10,3,5,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.74,44.8498375415802
omniglot,10,3,5,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6466666666666667,44.90557646751404
omniglot,10,3,5,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4366666666666666,45.24451375007629
omniglot,10,3,5,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3933333333333333,45.52161741256714
omniglot,10,3,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7966666666666667,50.29075527191162
omniglot,10,3,10,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7966666666666667,50.98012733459473
omniglot,10,3,10,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7966666666666667,51.86132335662842
omniglot,10,3,10,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7533333333333333,51.2696304321289
omniglot,10,3,10,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6833333333333335,50.70550537109375
omniglot,10,3,10,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.39666666666666667,51.014631032943726
omniglot,10,3,10,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.34,54.73869180679321
omniglot,10,3,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.8200000000000002,83.84866142272948
omniglot,10,3,10,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.83,84.28822803497314
omniglot,10,3,10,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.82,85.09605765342712
omniglot,10,3,10,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.8233333333333335,84.1328556537628
omniglot,10,3,10,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7833333333333334,84.11833333969115
omniglot,10,3,10,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5366666666666666,83.4961462020874
omniglot,10,3,10,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.43,83.82126760482787
omniglot,10,5,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4200000000000001,19.570367336273197
omniglot,10,5,1,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.428,19.62670397758484
omniglot,10,5,1,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.41,19.889926671981808
omniglot,10,5,1,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.25799999999999995,19.818995952606198
omniglot,10,5,1,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.21,19.114871978759766
omniglot,10,5,1,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.16799999999999998,19.87968325614929
omniglot,10,5,1,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.16799999999999998,20.06070160865784
omniglot,10,5,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4540000000000001,31.72084331512451
omniglot,10,5,1,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.4400000000000001,31.87543869018555
omniglot,10,5,1,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.436,31.674591779708862
omniglot,10,5,1,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.34,31.741135835647587
omniglot,10,5,1,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.27,31.92316055297852
omniglot,10,5,1,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.202,31.72665524482727
omniglot,10,5,1,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.19399999999999998,31.50916409492493
omniglot,10,5,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6,36.67829513549805
omniglot,10,5,3,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.608,37.386795997619636
omniglot,10,5,3,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6140000000000001,37.240705728530884
omniglot,10,5,3,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.478,36.364388465881355
omniglot,10,5,3,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3740000000000001,36.70543098449707
omniglot,10,5,3,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.206,36.37018656730653
omniglot,10,5,3,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.18600000000000005,36.688641548156745
omniglot,10,5,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6179999999999999,54.44896364212036
omniglot,10,5,3,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.626,55.788177251815796
omniglot,10,5,3,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6199999999999999,55.29123878479004
omniglot,10,5,3,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5459999999999999,55.51363563537598
omniglot,10,5,3,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.456,55.4194233417511
omniglot,10,5,3,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.264,55.19936060905457
omniglot,10,5,3,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.23200000000000004,54.62801194190979
omniglot,10,5,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6659999999999999,53.61122131347656
omniglot,10,5,5,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6659999999999999,53.5476508140564
omniglot,10,5,5,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6619999999999999,53.68128991127014
omniglot,10,5,5,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5779999999999998,53.86419343948364
omniglot,10,5,5,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.476,52.12814545631411
omniglot,10,5,5,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.24800000000000005,53.80499243736267
omniglot,10,5,5,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.208,53.50110912322998
omniglot,10,5,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.674,79.07723712921144
omniglot,10,5,5,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6679999999999999,79.58553910255429
omniglot,10,5,5,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6699999999999998,77.93436646461488
omniglot,10,5,5,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.612,75.01399254798889
omniglot,10,5,5,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5399999999999998,75.19867968559267
omniglot,10,5,5,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.29800000000000004,75.04497933387756
omniglot,10,5,5,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.248,75.6263794898987
omniglot,10,5,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7719999999999999,103.18494582176208
omniglot,10,5,10,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7979999999999999,102.59637880325316
omniglot,10,5,10,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.8059999999999999,103.84112668037416
omniglot,10,5,10,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7419999999999999,103.29467368125916
omniglot,10,5,10,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6579999999999999,103.45427632331848
omniglot,10,5,10,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.35600000000000004,103.97429370880128
omniglot,10,5,10,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.29399999999999993,103.11312484741212
omniglot,10,5,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7559999999999999,145.55026197433472
omniglot,10,5,10,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.778,144.00320625305176
omniglot,10,5,10,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.7739999999999999,144.52436494827268
omniglot,10,5,10,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.72,144.23526024818418
omniglot,10,5,10,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.6639999999999999,144.65987515449527
omniglot,10,5,10,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.33799999999999997,143.61557865142822
omniglot,10,5,10,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.27399999999999997,144.54361057281494
omniglot,10,10,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.305,38.10426354408264
omniglot,10,10,1,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.304,38.28465795516968
omniglot,10,10,1,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.285,38.20529580116272
